Tweet,Compound_Score,Sentiments
Kajg Kalo Dishopi Sad Peran: Pakke Tapa Kalo Ganati,-0.4767,Negative
"How about the ballad, the Tokopedia seller's solution",0.3182,Positive
"It doesn't matter if you change all the reasons, you have to be wise there, if you report to the shopee, etc., it's like you want to make customers lose money, it's already a blue day",0.4812,Positive
win the end buy wrong,0.1779,Positive
"it's bad that the former Jakarta package has just been pinned, not anter, why is it free, the postage is replaced by an expedition",-0.0516,Negative
"It's been almost a year I've been wanting to use it, I gave up on Sunday's package, it arrived only in Jakarta, sorry I ordered a courier, I chose it myself. I got it. I actually changed my package, it's been weeks.",-0.0772,Negative
use insurance to replace it then push the toped just investigate sm the toped amp is really bad why does it hold the toped,-0.5849,Negative
the expedition told me so that sending messages according to the schedule had all stopped,-0.2263,Negative
"the name of the request pick up via the app yesterday afternoon to pick up the package, it's better to change the name to be slow, good value for the courier, I'll give you the highest star",0.802,Positive
"dear, the current system is really messed up, the initial expedition knows how to change jne, it's been a long time, so when the goods arrive, it's not feasible to get home, don't change the system",-0.024,Negative
click finished toped the important fund claim process click complain,-0.1779,Negative
the spirit of losing packages through wasting time,-0.5574,Negative
wow so rude,0.1298,Positive
"Dear Mimin, the shopping account is about to go for weeks until we use the expedition.",0.3818,Positive
"slow the action of removing random people's packages a week later than the expedition, it turns out that there are many problems, my advice is to work, just close it btw the service is reversed like gin",-0.0516,Negative
"such as taking immediate action in the case of a service partner who sent a lot of complaints about packages that were stuck in the sorting place since August, reducing people's insights for shopping via the marketplace",-0.5719,Negative
"Waiting for the package to be sent, the order will be real, I will be taken around Jadebek",0.0,Neutral
ask how is it when the postcard suga hasn't arrived yet v it's already bad that using swift takes so long ahh it's better to use it faster,0.0516,Positive
"Different e-commerce, different maintenance, how come it's so fast, how come it arrived on the day of shipping, used shopee date, only used Tangsel, how come it's in the warehouse?",0.0,Neutral
positive thinking ae buy cat food at the shoe store wkwkwk,0.5574,Positive
what about boss responsibility,0.0,Neutral
"Appreciation for the most important services, happy working, healthy & benefits",0.9281,Positive
"hello, sent yesterday, sent home, even though it's already a branch now, don't know what to do on Sunday, just change it to slow",0.0,Neutral
hi sis maja neng listen waiting for order sis come along thanks raa,0.4404,Positive
use the date for a long time just change the name to slow,0.0,Neutral
"I haven't shopped since I subscribed plus the results of the package really come better, use jkt, sby day & bdg sby day, jkt sby, great day",0.8062,Positive
"Min, the package until September doesn't arrive until it's turned around, then the East Jakarta, Jakarta, Central Jakarta warehouse, when will it arrive, even though it's close, I've complained via email, I don't think I'm disappointed, I'd rather just break up with this cooperation with Xpedisi",-0.0377,Negative
garbage next day palalo just change the name slowly next day change next day after tomorrow,0.0,Neutral
"Just change the courier partner, it's not clear",-0.2924,Negative
the same as shopping with a pickup,0.0,Neutral
"Hello, package receipts are traveling, please check, buy, sell, send the date",0.3182,Positive
"Which item was ordered, updated according to what I received, said thank you, asked the security guard, how did you receive it?",0.5994,Positive
"using sii, it's really been a long expedition",0.0,Neutral
Nek Sek handle jne hours jnt hours don't understand nek entaraja nek no suwe ndak marem maybe you can take a break free shipping maybe it's more suitable to be a savings and loan cooperative,0.2732,Positive
"I want it, why is my package traveling, buying, selling, already sent on the date",0.0772,Positive
"cch as soon as you choose to turn off in first, just turn it off because the free shipping facility is anteraja anteraja it's worse a lot you don't want it to stay on",-0.0057,Negative
lead how to send using halu instead of sending via land the estimated sd day even though the official website wrote the estimated days,0.0,Neutral
God forbid it's unclean to use a lazy courier csnya bot says the address is already the address even though it doesn't show up at all this model becomes a partner at a loss for the seller to buy,-0.6124,Negative
"went awry, wanted to close, joined the free shipping service, maybe evaluate the work of the shipping service, hope it's good, that's the day's complaint thread",0.7845,Positive
"Hello, how long do you want the goods to last, wonder, please delete the recommended courier",0.5267,Positive
"for sellers, it's better not to use it first, just send it to jabodetabek, it will take a long time to arrive",0.4404,Positive
"shipping per september has gone up, it's crazy, it's okay if the regular reg becomes k k k becomes k",-0.128,Negative
selling funds already buying funds scorched sadly finally scorched late saw the notification I had to upload where did I think I changed the month the money didn't come back asking for selling throw toped asking toped throwing the tip scorched,-0.4215,Negative
the muter package is clear even though it's almost a week close,0.3818,Positive
choose the most expensive courier free shipping even though it's cheaper to cut,0.3535,Positive
"hello, now your item has told me to file a complaint, finally refunded my money, I'm reluctant to sue",-0.4939,Negative
"awww, even though the day I didn't buy a type c charger cable, it was sent quickly, so when I bought a lot, it beat Indigohome when it rained",0.0,Neutral
Waiting is slow to throw away tokopedia,0.0,Neutral
"shopping for the package courier package received there in the middle of opening gin brakes, fortunately only skincare you have experienced",0.0,Neutral
"It's better to be orange, sis, because it's the same problem, do you want e-commerce, if the goods are brought by the delivery service, it's a problem",-0.296,Negative
"hello, do you recommend the old courier, gin until the day of the day, is it better, have you paid for the application fee, how much do you pay for the application service so that the recommended courier is better",0.8387,Positive
"use plus the word priority courier send used Cibinong goods, what day do they arrive",0.0,Neutral
"Hello, yesterday I asked the seller to contact Customs and Goods, I really have the heart for you to swear",0.6444,Positive
"mjb oot in the end, I really like gaje like that, I usually shop miniso, I use postage, I have to cover full and free shipping, when Mo Co arrives, shipping costs for cover arrive, I just paid, right before, co already came back.",0.8341,Positive
"At the same time, I don't want to use Halu because my OVO balance is rb left",-0.0572,Negative
hello order pick up,0.0,Neutral
Omg the West Jakarta package is even farther away just one time to go around Jabodetabek pfft,0.0,Neutral
"hi, since it's plus, it's like anteraja, the method isn't free, it makes it longer, now it's longer, spy, subscribe plus, see more time, that's not true",-0.3682,Negative
"I think it's better to use it now, since Tokopediaplus sends free shipping. It's amazing how long it takes to buy the item, the date it arrived on the same day, and the bomb arrived by the courier.",0.9325,Positive
"damn, I've been shopping online, once I used a courier, I received the money for a refund, I was told to wait for the day when I got off work, so I finished buying the ssd to make a notebook",-0.4019,Negative
danger i express stopped working with expeditions and also damaged the good image sorry for the penny people who need to eat medicine do they need to eat immediately ekpired sicepatlelet,-0.6808,Negative
"danger i express with the former heading to the former, the date the package was sent to depok, the date the package was sent, the date was back, to jakarta, the date also returned, the former courier was gabut, how can you imagine if the goods ordered will be expired",-0.5267,Negative
I hate Antella,-0.5719,Negative
"When I shop at Tokopedia, I often experience things that take a long time to arrive, even after the delivery deadline, but it's slow, if that's the case, it's enough to move shopping and send it fast.",0.0,Neutral
Expedition delete love option Expedition checkout Expedition always goes through estimation of goods,0.6369,Positive
"I swear it's not good to use it, I can't choose the home fuse expedition, it's really bad, I swear, now the package is turning around",-0.7822,Negative
"Tokopedia uses free postage, uses anteraja, the correct delivery address is Bandung, likes to be lazy, takes free shipping, I'm afraid for Entaraja",0.7845,Positive
"It's true, I got it pretty fast, I used to use Medan Bandung, it arrived xhours, even Bandung Regency, I used Entaraja, the day the address for Lake Entaraja is good, Central Java, East Java, the average day arrived, the problem is the delivery address, Bandung, yoke",0.7351,Positive
it's better to stop cooperation quickly and slowly,0.1779,Positive
really bad service please stop working with,-0.5314,Negative
the plan to remove the long service expedition partner is that there are more and more deceitful members using expeditions,-0.5356,Negative
try to search for google just write about the central area,0.0,Neutral
"I really agree, now it's starting to be good, but unfortunately the cooperation with the expedition is messy, maybe min just cross it out",-0.5429,Negative
"how is the point of refusing the package to be sent, I'm also confused",-0.6124,Negative
"seller advice, avoid shipping problems, avoid sending proof of delivery, west jakarta, south jakarta, the day the courier marketplace arrives",-0.7269,Negative
"Even though it's clear that the package estimate is more clear, just use it first",0.6697,Positive
"Sending is not an inconsequential warehouse hoard of goods, weigh partners",0.0,Neutral
"just turn it off immediately, slow down, choose delivery due to courier recommendations, many outlets are closed, many employees have been terminated, it's a sign that the ship is slow to waver",0.0,Neutral
"Min, I use a courier recommended by Gin Lot to send to Jabodetabek. The century has arrived. Don't cooperate with slow people, it's just ruining your reputation.",-0.0516,Negative
shop until rb cod send free shipping courier send and estimate date august but until the status of the aren cottage courier since how,0.2846,Positive
"hello, the package message seems to be stuck on August, please follow up immediately, thank you",0.4215,Positive
"hello, min, the package is manifested, friday morning, is it a holiday, send on saturday, sunday, please check, min, the receipt number, I'm afraid the item on the wishlist has been around for a long time",0.6486,Positive
"hello, package admin, bought August now, status is still waiting for pickup, even though it's selling, if you take it now, how can you receive the package?",0.0,Neutral
"Min, the bomb package arrived when I bought it even though I used the best service",0.25,Positive
"wait, it's in good faith, I've been complaining here and there until now, the package has gone even though it's clear that customs evidence chat with Batuampar drop off point at Batam",0.6597,Positive
"When will the package arrive, admin, I have given a clear address, Central Jakarta, even East Jakarta, you know, sent it back yesterday, please give me info",0.5994,Positive
pick up package courier transaction hours receive bad service,-0.5423,Negative
"hello, seller & send using the package, can't drop the agent near the agent said now when the pickup request can't be dropped why cant wait for the courier don't know when it will come",0.2057,Positive
"Min, cent century goods, date until now sent",0.0,Neutral
"if you want to claim insurance, the delivery is slow, how about ordering the next day yesterday",0.0772,Positive
"The package arrived, it's already the day the status changed, how about the usual words, like gin, August, just used",0.3612,Positive
"hello admin, yesterday afternoon at drop-off, send the Bojong sub-district head office, Tegal regency, receipt day, input the receipt number, send status, please check, thank you",0.6249,Positive
"I use Anteraja, it's always safe and secure. The courier is friendly. Anteraja chooses an expedition, I always use it, Thank God, it's always safe until I reach my destination.",0.9337,Positive
"the way to deal with the cake package is like this, how about the date of changing the status even though it's holy with a close house",0.3612,Positive
mending complain,-0.3612,Negative
I have been safe for a long time,0.4404,Positive
"I really bought a cell phone and friends, I usually buy it, I need to rt, thank God, it's been a long time, it's safe, the package is according to the estimated time, thx and anteraja, everything is always successful",0.9423,Positive
"i yes, was using jne in goods g ad even goods were broken by couriers because small fragile signs were replaced by parties",0.3182,Positive
"Direct interest dm cod items directly to the banjarnegara location. If you want to send via shopee, send using jnt cargo, safe at home",0.7351,Positive
wts selling webcam pro logitech c full hd p new warranty seal th fits google meet zoom game streamer jt price negotiable if interested just dm if you want to send via shopee send using jnt cargo cargo safe at home,0.7783,Positive
i x buy using jne anteraja shopee express everything is safe for a long time rd party lost items can claim relax insurance,0.7351,Positive
"it's really okay, it's better if you don't like sane basic personal nature",0.5018,Positive
I suggest you use it,0.0,Neutral
"i really the problem is not because i use jne here, the courier person is j & t jne already the courier person is the same, nothing but the goods are lost",-0.6045,Negative
"I don't take a courier, so I suggest taking a courier to deliver, the problem is that once you didn't buy it when you sent the goods, then you forgot to use insurance, packing wood, the result is that the goods are lost, I don't know",-0.6124,Negative
"I'm right, when buying a cellphone, I often choose to always trust far",0.5106,Positive
Wrong package sent plastic writing for sorting names even though the paste is not an identity,-0.4767,Negative
"I'll help you report it, if one sells a cell phone, just suggest a friend to buy a cell phone, just use it, as long as it's altifin, insurance is mandatory, but the other is up one city using gojek or grab",0.4767,Positive
send on august the maximum limit for the package is august past the day of august no news at all about the cs package told to wait and still it's not clear the package holds,-0.5242,Negative
damn it took so long to send the ex-dated date to Tangsel hoping to send aceh until now until it's better to check the speed first so that the seller doesn't want to deactivate it first,0.4172,Positive
now shopping with free shipping like it automatically chooses Anteraja sometimes I like to request a seller just use it,0.8074,Positive
"logistics hi allovers, sorry about the natural constraints you have problems please help confirm then dm dm you will help with a definite response dm twitter official akulaku verified blue tick thank you",0.8689,Positive
"Min, the package dropped to the outlet, the status of the seller failed to be picked up, it's clear that I got a receipt",-0.1779,Negative
"Min, I want to ask the seller, right? Send the goods via drop goods outlets. The status failed to be picked up, right?",-0.6662,Negative
"slow down, try to check cooperation",0.0,Neutral
where is the free shipping option either anteraja choose a lot of free shipping shops using anteraja pdhl feedback about anteraja is really bad see from people's review about anteraja twittwr the good intentions of the system,0.6915,Positive
"message inv mpl canceled automatically party compensation party, right, hopefully the toll road is good",0.875,Positive
"please input the receipt for fast delivery, keep sending automatic cancel",0.0772,Positive
"it's slow, lola, it's already the day of ordering on August, it should be already bad August, friend, logistics",-0.0772,Negative
just use a friend so that it's safer faster daniel,0.7402,Positive
"hey, it's better not to cooperate between packages and I swear it makes me lazy to shop for goods that take so long to arrive hasss prekkk",0.0516,Positive
"hi allovers, sorry about your natural problem, you have a problem, please help confirm then dm your dm to help with a definite response dm twitter official Akulaku verified blue tick thank you",0.7964,Positive
"ordered the beginning of the month until the date there is no further news, the package leaked, broken, fast, the process doesn't take too long, dm the receipt number, the message number",-0.7184,Negative
"good day order official store goods since Saturday, August, use the delivery system next day, the date it arrived, the last update was in Surabaya since the pk changed the name silama piyee",0.4404,Positive
"Free postage transactions, why are there serious days off?",0.4588,Positive
"hi, sis, regarding the information, complain, send, brother, please contact the channel, join wa customer, email help com, thank you faithfully for using the lion parcel",0.8402,Positive
I used it once in the past,0.0,Neutral
"hello, add an expedition using a free shipping voucher, don't just use an expedition, always be wary if you use an expedition, it's always late if you use a stuck day, it's clear to weigh",0.5994,Positive
"August has arrived at Jatipadang, South Jakarta, from my house, it's funny, e August, it's far away, North Jakarta, and now August hasn't even arrived yet, logistics is dilapidated",0.4404,Positive
"the sender, the seller, the receipt number of the goods, sends on Monday, August, the date of the goods, arrives, the final status, the final status, the goods, Jaksel, the cargo, the goods, arrives, the destination address",0.0772,Positive
"Min, this is the reason why people are lazy to shop for free shipping, cooperation with the courier, it's clear that they want to deal with the package problem, tell me to follow up, I hope you change the courier, better.",0.7783,Positive
"hello, no response to the lost package, already complained via though",-0.7351,Negative
"pie, even though it's small, the sub-district head, I walked to my house, btw, the printer service tool, hlo, quite urgent, red flag, really",0.2716,Positive
just delete it so it's an efficient work partner it's better to use it,0.7152,Positive
"If anteraja is free, but you only need to be charged, you just want to choose, sometimes you bring anteraja",0.1027,Positive
"Which is better, give me the option to choose the courier, just use the delivery service, seriously, the courier likes it, according to estimates, it's okay to pay the postage, k",0.6705,Positive
"pls go back, just go back to the blacklist, this international expedition, the package has stopped today",-0.1531,Negative
It's strange that last month I sent it free of charge using the problem & it took so long to arrive the account was sold on the plus feature by sending cm what's the trial hour what's wrong wow,0.128,Positive
Long time to send free postage at the end of the game because Toped wants to launch a message plus a date,0.5106,Positive
"look after the delivery status, it's pretty good to meet on the night of the week until the package arrives sofun",0.7269,Positive
"Min, please use free shipping, just choose a courier, I've been there several times, my package, only Bandung, should have arrived yesterday, now check dm wa reply",0.6808,Positive
"Min, the package tokped is better, just the same",0.4404,Positive
"The receipt asked for a picture of yesterday's hours until now, what has happened even though it's already arrived tomorrow",0.0,Neutral
"If you buy goods using free shipping, is it true that delivery of goods to the address always has an estimated end date for the goods? That's how many people buy items using free shipping promos, it's always like that",0.8979,Positive
"Anteraja is off the free shipping option, forced to use Anteraja, choose automatically free shipping. If that's the case, I'm sorry to use Anteraja, as a result, the package is stuck in days until it's enough for free shipping",0.6808,Positive
"lol, how did the original courier change between the carriers, which took a long time until now, the package hasn't arrived yet",0.6249,Positive
"it's been a long time since the anteraja has been deactivated, then I've activated the expedition, the real recommendation is anteraja for pick-up, then the delivery has been for an expedition depending on the location, sometimes it just keeps on asking for a pickup, sometimes the application has an error",-0.4019,Negative
tips tricks online shopping happy courier expedition tags tricks shopee lazada blibli discount cashback free free shipping anteraja jet jnt j amp t jne gosend gojek grab pos indonesia shopee xpress cod pay place discount pulse token bill,0.836,Positive
"free shipping, choose only & Anteraja likes to miss the devil's estimation, he's been waiting until it's late in the afternoon, the office is waiting for the package to arrive, idiot",0.296,Positive
"Did you use it first, even though it's Monday the same day",0.0,Neutral
"Minto, I've been using it all the time instead of changing to use it's clear that it's taking really long to use anteraja, how about it, I asked the package, just shut up, the reply, min, how many days",0.3818,Positive
"Min, I would like to request a packing of wood, how to send it then",0.3612,Positive
a place that makes you emotional,0.1531,Positive
"hello, buying goods that haven't arrived with an estimated arrival time of August, check the web on the date of August, the update arrives, check on August, the web, the item is lost, dabs",-0.3182,Negative
"hi just want info, buy on monday august now no pick up sell end sell ask to change courier system very disappointed with tokped item need urgent",-0.5413,Negative
buy goods pickup date,0.0,Neutral
"Hello, the order for goods with a different address from the sub-district head and the package is stuck, even though the pick-up courier is the same manifested in the same location and the receipt number",-0.1779,Negative
please reply dm respond via dm dm,0.3182,Positive
"Packages from August to August haven't arrived yet, even though the estimated arrival is August, nature has never bought anything.",0.0,Neutral
jg same dm jg not answered,0.0,Neutral
"shopping is not comfortable using an expedition, if the goods are not damaged, the durable goods will be delivered",-0.0762,Negative
I'm in Southeast Sulawesi using HR BRG using new hr anteraja,0.0,Neutral
"the courier always picks up on time according to the seller's request, the goods are processed in the warehouse. The delivery process is more correct, the taste is different, using an anthraja, the day arrived, the new day arrived, the day it arrived",0.0,Neutral
"Shopee uses Anteraja, always takes longer to use, takes longer, Can drop counter, pick up the courier, where the seller is, usually the courier piles up, until there are lots of new requests coming to the warehouse. It will take too long to wait for the buyer to wait",-0.2732,Negative
"not only shopping for toped, the old courier service is different from orange using any courier, it rarely comes late",0.0,Neutral
"Logistics cape, I'm sorry I got hit by a stone, I reviewed what was wrong and I reviewed it for the courier, so I got sprayed, I bought the package, I estimate it will arrive in August",-0.5267,Negative
"Logistics, I have given up, I have complained, I think there have been many real complaints, the toped problem has changed, the courier was so lazy, right?",-0.8845,Negative
"satisfied, full subscriber, subscription rights, selling loss, must give the option of a cooperative expedition with the free shipping program, the problem is starting to have a lot of problems starting from couriers wanting to pick up outlets, it's hard to find",-0.25,Negative
"Logistics, even though I already told you, free shipping, don't work with Pink, it hasn't been done for a long time",0.5106,Positive
same logistics,0.0,Neutral
logistics don't date om august the same position,0.0,Neutral
"Logistics, hi sis, I'm really sorry for making you anxious. You can help via dm.",0.0276,Positive
"okay, I'm dm the data, I'm also asking for complete details, but I can't change the data according to the order, you can see the receipt number, professional delivery service, not entrusted service, thanks",-0.4761,Negative
the receipt of mass depok tangerang day until x don't cooperate sm expeditions are always slow better jnt or anteraja,0.4404,Positive
"I really want to care, I close my eyes, even though there are so many customers complaining that my goods are missing, my package is max.",0.2006,Positive
Lhaa switch courier is early in the era now,0.0,Neutral
"The estimate for arriving in August changed to August, until now, on August, the goods haven't been sent yet, it's too late, your friends, logistics",0.4767,Positive
"ballad, ken, asking what the fee is for the Rp. PS I need clarification on what the fee will be.",0.0,Neutral
"Hello, Thursday, August, I have sorted the new kebayoran, but now the bomb has arrived, even though the new delivery address is not enough courier, heee",0.7579,Positive
"this is marketing fraud, the message is stuck with express, I ordered it using a recommended courier, everything is not bad now, I checked the cs receipt number, note down, wait for clarification on the matter",-0.1901,Negative
"That's right, the seller and shopee, the delivery service is used by gojek, grabsend, buy it, ask for it",0.0,Neutral
much more indeed,0.0,Neutral
"Anter area only, how come it's a long distance between JNE",0.0,Neutral
international expedition safe problem,0.0516,Positive
"huhu even though you already have cashback, your store has activated lionparcel",0.0,Neutral
hi sis chris welcome frst service priority care service thank you for waiting for invoice inv mpl check receipt received july at wib nova employee please check,0.875,Positive
"off, free shipping, sis, wow, wow",0.8979,Positive
"It's so weird, it's already cute when it's hand over Anteraja lol dare to throw the slowest expedition like a snail to the buyer hmm the item got stuck I don't know thursday until now",0.818,Positive
The recommended courier program is a shame the package turns around so it takes a long time to track it down,-0.3182,Negative
send shopee j amp t anteraja jne manual jne pick up gosend cod yourself since guaranteed trusted lots of proof follow check yourself for more details chat,0.4767,Positive
"Mimin, please just stop working on promos, free shipping and courier services. Anteraja has a lot of pending to send more lots, JNE trucking, just use J & T",0.5267,Positive
"check the timeline, it looks like a lot of things have happened behind, sent to the city of Jabodetabek until the other day, help answer, I think I'll be one of the recommended couriers",0.7184,Positive
"free shipping using real shipping, it's really a problem, almost a week, only ordered from Jakarta, Tangerang, not yet",0.0828,Positive
"Dear, I suggest that the shipping is free, just cooperate with entaraja, one day it's better to pay the postage, normally if you send the metro, you will get it, but the day is over",0.5719,Positive
It has been recommended for the resolution center at the end of update tracking,0.2023,Positive
"I've entered the resolution center, omg it's normal",0.0,Neutral
"it's better not to go shopping because dear children often throw tantrums, even if they sell off Anteraja, they still get recommended couriers, even though they change hands with Anteraja packages",0.5859,Positive
"uh, sorry, the courier hasn't arrived yet, the status has been received and my name is woooeee, how do I check it, not jne or jnt",-0.0772,Negative
"Where do you want to go, the package to take you to Jakarta last week, it's best, if you order the Tangerang hub, it's already arrived, how do you get irritated",0.3612,Positive
no one,-0.296,Negative
"it's really annoying now that it's already difficult to use, there are anteraja added fees per transaction that really affect work",-0.6697,Negative
"a notification should appear, select an order, one of them is sure by choosing a delivery courier, the program must be gin, courier & ready",0.5859,Positive
"info, people say that it's overloaded, min, adding a lot of new packages, it's far beyond the capacity, so hopefully in the future it's free shipping, choose a courier like now, use it automatically",0.8516,Positive
just use normal expeditions to be safe just a few days ago like this,0.6597,Positive
"tokped, how are the customers complaining because they can't checkout because the problem is solved, what's the solution",-0.0258,Negative
How long did you wait for the expedition to recover?,0.0,Neutral
"I had time to buy clothes to wear, send them more than a week until the end of the word was gone",0.0,Neutral
it's really slow like it's been weeks for the goods to arrive,0.4173,Positive
"I bought a monitor using a courier, it's been a week, I've been moving, contacting cs, the courier has helped me to move Central and Central Jakarta, okay, let's just share so that we become victims together",0.2023,Positive
really eat your heart from the date you pick up what are you working on,0.6666,Positive
m mortal ka ask the followers to buy goods and get a clear message wait for the pick up date,0.3818,Positive
shopping using a shopping courier service starting from july now it's clear even though in surabaya pasuruan what are the responsibilities,0.3818,Positive
"blame the shop, check anteraja courier, wkwkwkw just shop, just check jne and jamp t",-0.34,Negative
"Budi Utomo, all choose Tokopedia, choose free shipping, automatically get Shopee's Anteraja, change the courier, as long as it's past the time when you order, when you order, you choose a courier, send information, change the courier.",0.5106,Positive
I'm a friend of mine who works an anthraja,0.4939,Positive
"Yesterday I sent the goods, I requested a pickup, I brought the goods, but I was waiting for the pickup on the day of the courier's news, the status was cancelled, even though I was waiting for the pickup to help",0.2617,Positive
"I'm sorry, the Tokopedia admin uses a courier, even though the date has arrived now, it's stuck there, please help the Tokped admin, how do you do that, thank you",0.6369,Positive
inv mpl when pick up is almost a day clear pick up status,0.3262,Positive
"Ask for collaboration in accordance with the postage from Jakarta to Jepara, Sis, cooked the postage to buy it even though the markup was rb tks",0.0,Neutral
"Hey, when are you going to pick up the package, pay attention to the slander notification, even though the courier actually came, what if the package doesn't want to pick up, the shop has deactivated it, it's stuck with a solution",-0.0829,Negative
"Farmatk sells all types of office stationery, complete with school, other stationery products, please visit the online shop Farmatk. See product storefront, free shipping using the Antaraja courier",0.6808,Positive
"hello, how is the stack day package out of town, how do you send it, what's the solution, no receipt, no inv message, mpl",0.2472,Positive
"Darling, the information on the date of July came in, it's complicated, I'm sorry, only the response time is real, until now I've given up when I shop using sending it, I'm always satisfied",0.743,Positive
"hi sis, sorry for worrying about your package, please provide your receipt number, dm sis, thank you",0.34,Positive
suddenly changed to bijimane meaning,0.0,Neutral
"At noon, I requested a pickup using it, but now the courier is coming, immediately processing it, I'm waiting to buy it",0.0,Neutral
"if you want to ask for a package path, no receipt, use gin, the starch is really slow, the goods are lost, it's not clear, the bus, the cooperation with the shipping service, is very bad",-0.8472,Negative
